company,ticker,fiscal_year,period_end,capex_usd_mn,xbrl_concept,source
Microsoft,MSFT,FY2022,2022-06-30,23886,PaymentsToAcquirePropertyPlantAndEquipment,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Microsoft,MSFT,FY2023,2023-06-30,28107,PaymentsToAcquirePropertyPlantAndEquipment,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Microsoft,MSFT,FY2024,2024-06-30,44477,PaymentsToAcquirePropertyPlantAndEquipment,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Microsoft,MSFT,FY2025,2025-06-30,64551,PaymentsToAcquirePropertyPlantAndEquipment,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Alphabet,GOOGL,FY2022,2022-12-31,31485,PaymentsToAcquirePropertyPlantAndEquipment,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Alphabet,GOOGL,FY2023,2023-12-31,32251,PaymentsToAcquirePropertyPlantAndEquipment,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Alphabet,GOOGL,FY2024,2024-12-31,52535,PaymentsToAcquirePropertyPlantAndEquipment,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Alphabet,GOOGL,FY2025,2025-12-31,91447,PaymentsToAcquirePropertyPlantAndEquipment,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Amazon,AMZN,FY2022,2022-12-31,63645,PaymentsToAcquireProductiveAssets,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Amazon,AMZN,FY2023,2023-12-31,52729,PaymentsToAcquireProductiveAssets,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Amazon,AMZN,FY2024,2024-12-31,82999,PaymentsToAcquireProductiveAssets,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Amazon,AMZN,FY2025,2025-12-31,131819,PaymentsToAcquireProductiveAssets,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Meta Platforms,META,FY2022,2022-12-31,31431,PaymentsToAcquirePropertyPlantAndEquipment,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Meta Platforms,META,FY2023,2023-12-31,27266,PaymentsToAcquirePropertyPlantAndEquipment,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Meta Platforms,META,FY2024,2024-12-31,37256,PaymentsToAcquirePropertyPlantAndEquipment,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Meta Platforms,META,FY2025,2025-12-31,69691,PaymentsToAcquirePropertyPlantAndEquipment,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
