company,ticker,role_in_chain,fiscal_year,period_end,revenue_usd_mn,gross_profit_usd_mn,gross_margin_pct,rd_usd_mn,revenue_yoy_pct,source
Broadcom,AVGO,switch ASIC + optical DSP,FY2022,2022-10-30,33203,22095,66.5,4919,,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Broadcom,AVGO,switch ASIC + optical DSP,FY2023,2023-10-29,35819,24690,68.9,5253,7.9,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Broadcom,AVGO,switch ASIC + optical DSP,FY2024,2024-11-03,51574,32509,63.0,9310,44.0,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
NVIDIA,NVDA,XPU / networking platform,FY2022,2022-01-30,26914,17475,64.9,5268,,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
NVIDIA,NVDA,XPU / networking platform,FY2023,2023-01-29,26974,15356,56.9,7339,0.2,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
NVIDIA,NVDA,XPU / networking platform,FY2024,2024-01-28,60922,44301,72.7,8675,125.9,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Marvell,MRVL,optical DSP / custom ASIC,FY2022,2022-01-29,4462,2064,46.3,1424,,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Marvell,MRVL,optical DSP / custom ASIC,FY2023,2023-01-28,5920,2987,50.5,1784,32.7,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Marvell,MRVL,optical DSP / custom ASIC,FY2024,2024-02-03,5508,2294,41.6,1896,-7.0,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Coherent,COHR,optical components / lasers,FY2022,2022-06-30,3317,1266,38.2,377,,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Coherent,COHR,optical components / lasers,FY2023,2023-06-30,5160,1618,31.4,500,55.6,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Coherent,COHR,optical components / lasers,FY2024,2024-06-30,4708,1456,30.9,479,-8.8,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Lumentum,LITE,optical components / lasers,FY2022,2022-07-02,1713,789,46.1,221,,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Lumentum,LITE,optical components / lasers,FY2023,2023-07-01,1767,569,32.2,308,3.2,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Lumentum,LITE,optical components / lasers,FY2024,2024-06-29,1359,252,18.5,302,-23.1,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Ciena,CIEN,systems / coherent optics,FY2022,2022-10-29,3633,1560,42.9,625,,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Ciena,CIEN,systems / coherent optics,FY2023,2023-10-28,4387,1879,42.8,751,20.8,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Ciena,CIEN,systems / coherent optics,FY2024,2024-11-02,4015,1720,42.8,767,-8.5,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Fabrinet,FN,optical module contract mfg (OEM),FY2022,2022-06-24,2262,279,12.3,,,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Fabrinet,FN,optical module contract mfg (OEM),FY2023,2023-06-30,2645,336,12.7,,16.9,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
Fabrinet,FN,optical module contract mfg (OEM),FY2024,2024-06-28,2883,356,12.3,,9.0,"SEC EDGAR 10-K (companyfacts XBRL), retrieved 2026-07-12"
